Price     , Close             , High              , Low               , Open              , Volume
Ticker    , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS       , ANGELONE.NS
Date      ,                   ,                   ,                   ,                   , 
2025-07-28, 2585.24267578125  , 2721.0472181823357, 2578.303757556377 , 2686.3526270579705, 803786
2025-07-29, 2609.13232421875  , 2625.8847575781356, 2557.4868533603585, 2585.2425246371376, 698116
2025-07-30, 2618.15283203125  , 2629.1560702001893, 2578.303665760645 , 2624.7943194079753, 484678
2025-07-31, 2578.204345703125 , 2614.8814822223176, 2566.4082823834824, 2595.1552272228496, 455411
2025-08-01, 2547.3759765625   , 2591.9833066143406, 2539.6439909514634, 2576.3211289940878, 429035
2025-08-04, 2604.671630859375 , 2611.9077373724267, 2536.3727077964695, 2555.504344190325 , 422722
2025-08-05, 2578.60107421875  , 2645.313862034733 , 2529.731218192526 , 2616.963329164682 , 1020665
2025-08-06, 2588.1171875      , 2615.9720836793917, 2520.2149185602357, 2585.143365502638 , 1180598
2025-08-07, 2618.94580078125  , 2629.8498143348434, 2553.5217194596894, 2553.5217194596894, 543383
2025-08-08, 2530.326171875    , 2629.5525565264784, 2518.629089983237 , 2621.721588536623 , 537255
2025-08-11, 2525.865478515625 , 2542.3204823759916, 2506.337186316418 , 2527.7488023878086, 499389
2025-08-12, 2484.92578125     , 2539.8422655851077, 2480.1676175145867, 2528.3436320689743, 479858
2025-08-13, 2608.8349609375   , 2614.8815871298075, 2497.019205363932 , 2497.019205363932 , 912332
2025-08-14, 2619.14404296875  , 2650.07174252324  , 2592.2806635075194, 2608.834890454002 , 731823
2025-08-18, 2643.62841796875  , 2712.918612739042 , 2619.937067210857 , 2646.6022398384557, 695745
2025-08-19, 2654.43359375     , 2667.4191380815478, 2613.9895657190755, 2651.657978118516 , 454427
2025-08-20, 2697.058349609375 , 2703.6998370122674, 2624.0015041570523, 2658.200457182505 , 658250
2025-08-21, 2515.6552734375   , 2711.134463106608 , 2507.526874820366 , 2697.058420329094 , 2567524
2025-08-22, 2496.622802734375 , 2545.5916417172007, 2486.313407888869 , 2522.7923396301694, 1200174
2025-08-25, 2425.54833984375  , 2516.84477528665  , 2413.9504820343595, 2503.958212829491 , 1562966
2025-08-26, 2318.689208984375 , 2429.810883912203 , 2312.2459277098797, 2425.6475813368897, 1673085
2025-08-28, 2239.684326171875 , 2329.097432479212 , 2231.35772157162  , 2319.5811054987075, 1504243
2025-08-29, 2190.517333984375 , 2277.4520153974972, 2179.2166651762504, 2260.0054961903506, 1577470
2025-09-01, 2246.82177734375  , 2256.139656272936 , 2175.8464611243826, 2206.5759555639524, 1115501
2025-09-02, 2256.5361328125   , 2303.8200982326566, 2223.4276766078224, 2267.043734463705 , 983624
2025-09-03, 2252.372802734375 , 2269.026254841687 , 2231.357841698837 , 2269.026254841687 , 824181
2025-09-04, 2237.404541015625 , 2319.5810550950223, 2229.969986351859 , 2278.938822933101 , 686876
2025-09-05, 2276.758056640625 , 2284.3908176531695, 2233.142002842951 , 2250.092642180902 , 837315
2025-09-08, 2320.572509765625 , 2328.502702024542 , 2284.9858688078393, 2300.4495985065705, 786620
2025-09-09, 2315.615966796875 , 2335.4414459646564, 2302.8286295377534, 2329.493802214322 , 338579
2025-09-10, 2316.2109375      , 2354.2757624979704, 2253.364020360217 , 2329.493912366413 , 814113
2025-09-11, 2196.6630859375   , 2318.5897824945   , 2188.931100680617 , 2317.598508538752 , 2185343
2025-09-12, 2202.908203125    , 2231.3577178064893, 2190.715484830005 , 2210.540964330729 , 999466
2025-09-15, 2232.34912109375  , 2254.1571498078097, 2193.293021019039 , 2215.4974625419763, 1432290
2025-09-16, 2210.9375         , 2236.314211975457 , 2195.6719767400878, 2236.314211975457 , 628221
2025-09-17, 2228.879638671875 , 2246.2269340584694, 2210.4418450568764, 2220.4538094841005, 599592
2025-09-18, 2245.83056640625  , 2262.087363891284 , 2231.1596621822905, 2238.5942174974457, 508314
2025-09-19, 2246.82177734375  , 2258.1222043012954, 2215.4974216915693, 2232.9439411452345, 494144
2025-09-22, 2228.384033203125 , 2245.2356918172054, 2210.640324760639 , 2240.2793216365935, 371998
2025-09-23, 2208.459228515625 , 2236.314124476548 , 2163.0590733201802, 2220.453740615012 , 806750
2025-09-24, 2183.181640625    , 2247.416240691326 , 2163.7528165005915, 2208.5583504322676, 616548
2025-09-25, 2175.747314453125 , 2210.5411303948363, 2168.907620315651 , 2175.846538662182 , 548073
2025-09-26, 2117.757568359375 , 2181.7939622845915, 2101.5007723958806, 2170.8899488429147, 647903
2025-09-29, 2106.35791015625  , 2133.7171678583204, 2083.7570578052464, 2119.3436956474284, 1341520
2025-09-30, 2113.891845703125 , 2120.335126827191 , 2082.666714101883 , 2120.335126827191 , 662023
2025-10-01, 2154.533935546875 , 2163.851813895362 , 2099.121818411671 , 2121.3262581413906, 518648
2025-10-03, 2182.091552734375 , 2199.3396239107296, 2152.8489690893457, 2165.933737775917 , 429291
2025-10-06, 2245.433837890625 , 2251.778136757503 , 2153.740992012966 , 2191.7068349784154, 1059917
2025-10-07, 2230.862060546875 , 2288.8515875595353, 2210.937357025606 , 2257.130820646627 , 1137247
2025-10-08, 2198.150146484375 , 2239.288018447893 , 2190.9137977128366, 2222.4363600531988, 555881
2025-10-09, 2244.839111328125 , 2259.1133595779643, 2193.6892780807525, 2205.5845656257   , 723562
2025-10-10, 2283.201416015625 , 2299.160781953737 , 2233.3402862125577, 2244.7399370298876, 1026736
2025-10-13, 2320.27490234375  , 2345.354181853531 , 2235.7191854243274, 2269.323517766921 , 1209214
2025-10-14, 2383.61767578125  , 2413.7523100762473, 2326.916606552355 , 2343.272628366013 , 3116178
2025-10-15, 2423.863037109375 , 2439.2277834799897, 2360.223297318297 , 2385.897196062517 , 1343403
2025-10-16, 2460.93701171875  , 2508.2207347021113, 2411.868947073509 , 2418.708641098741 , 3242812
2025-10-17, 2474.715576171875 , 2536.6702020524044, 2439.227918065456 , 2446.563490975865 , 1585685
2025-10-20, 2477.78857421875  , 2502.966836882697 , 2470.750432051533 , 2486.9082465689057, 583078
2025-10-21, 2476.004150390625 , 2491.864533780735 , 2464.30706923837  , 2487.1063703616533, 109769
2025-10-23, 2489.089111328125 , 2511.2935529922593, 2458.8552531459236, 2484.03351692634  , 525144
2025-10-24, 2492.558349609375 , 2497.0190823885528, 2464.8026789833807, 2486.1150689283404, 397482
2025-10-27, 2554.51318359375  , 2562.542600066892 , 2486.2144995093763, 2492.062919501237 , 736854
2025-10-28, 2515.754150390625 , 2565.4170738563175, 2491.170749164344 , 2557.486881974227 , 535221
2025-10-29, 2489.782958984375 , 2499.7949235969777, 2429.017811903026 , 2469.2636347492103, 716950
2025-10-30, 2491.1708984375   , 2510.797930913543 , 2473.3279656336317, 2491.0716742289283, 324753
2025-10-31, 2470.651123046875 , 2513.8707645410313, 2387.9789715218235, 2491.1706876432404, 1011363
2025-11-03, 2541.42822265625  , 2547.3758664059674, 2464.505266689142 , 2470.651116828468 , 623626
2025-11-04, 2496.42431640625  , 2561.650193266544 , 2487.9984875020696, 2537.6614111413983, 621997
2025-11-06, 2464.802734375    , 2537.4631650129986, 2458.359453549165 , 2507.923152209431 , 721587
2025-11-07, 2593.569091796875 , 2602.094144655845 , 2424.656105839313 , 2458.3594204748556, 1865591
2025-11-10, 2583.656494140625 , 2649.972870905329 , 2577.3124372530283, 2599.1204655682463, 1230066
2025-11-11, 2618.35107421875  , 2633.71582137967  , 2579.294975013804 , 2583.6564838553822, 750372
2025-11-12, 2656.11865234375  , 2686.3525089947984, 2614.782575422891 , 2639.762631532527 , 1783272
2025-11-13, 2689.822021484375 , 2744.1438855405054, 2643.1329188899963, 2656.61434220679  , 1167192
2025-11-14, 2721.344482421875 , 2732.942339486635 , 2687.046306203109 , 2689.8219217254205, 536041
2025-11-17, 2822.553466796875 , 2839.900761649378 , 2731.0590709830176, 2734.9249427460463, 1513166
2025-11-18, 2769.024658203125 , 2841.9825204430854, 2760.698053517263 , 2814.2268488098775, 744032
2025-11-19, 2789.345703125    , 2825.1307899349404, 2754.7503386769117, 2769.6194480976224, 714090
2025-11-20, 2789.742431640625 , 2825.1308645950817, 2768.925677901503 , 2789.3457768394437, 700861
2025-11-21, 2724.1201171875   , 2794.401345460793 , 2717.081975135876 , 2787.4624276111213, 554218
2025-11-24, 2655.12744140625  , 2741.2690562535204, 2650.5674841464934, 2728.9773553075997, 487775
2025-11-25, 2664.2470703125   , 2683.279482631259 , 2637.780103024675 , 2641.745199008177 , 427865
